,product,units,price,order_number,fecha
323,Mandarina,4,1.0,13253776,2022-12-14
324,Espárrago verde troceado Hacendado ultracongelado,1,2.5,13253776,2022-12-14
325,Salteado de setas Hacendado ultracongeladas,1,1.8,13253776,2022-12-14
326,Pechuga de pavo Hacendado finas lonchas,1,3.15,13253776,2022-12-14
327,Bebida de almendras zero Hacendado,1,1.4,13253776,2022-12-14
328,Cebolla troceada Hacendado ultracongelada,1,1.0,13253776,2022-12-14
329,Cebollas,1,1.55,13253776,2022-12-14
330,Arroz basmati aromático Hacendado,1,2.5,13253776,2022-12-14
331,Pan de molde 100% integral Hacendado,1,0.95,13253776,2022-12-14
332,Chili con carne Hacendado,1,2.6,13253776,2022-12-14
333,Fajitas pollo y verduras,2,7.98,13253776,2022-12-14
334,Vela perfumada Té Chai Bosque Verde,1,1.65,13253776,2022-12-14
335,Jabón de manos Beauty Cream Bar Dove pastilla,1,2.6,13253776,2022-12-14
336,Espárrago verde grueso,1,3.39,13253776,2022-12-14
337,Tomate pera,3,0.58,13253776,2022-12-14
338,Preparado de carne picada vacuno y cerdo,1,5.74,13253776,2022-12-14
339,Banana,5,1.15,13253776,2022-12-14
340,Muesli Crunchy Hacendado con frutos secos,1,1.75,13253776,2022-12-14
341,Leche desnatada sin lactosa Hacendado,2,2.02,13253776,2022-12-14
342,Ensalada mezcla brotes tiernos maxi,1,1.75,13253776,2022-12-14
343,Huevos grandes L,2,8.5,13253776,2022-12-14
344,6 Caracolas rellenas de cacao,1,1.6,13253776,2022-12-14
345,Aguacates,1,2.67,13253776,2022-12-14
346,Queso de oveja Entrepinares lonchas,1,2.37,13253776,2022-12-14
347,Pechugas enteras de pollo,1,6.28,13253776,2022-12-14
348,Medallones pechuga de pollo marinado,1,3.61,13253776,2022-12-14
349,Medallones pechuga de pollo marinado,1,3.98,13253776,2022-12-14
350,6 Caracolas rellenas de cacao,1,1.6,13220829,2022-12-07
351,Snacks gato rellenos con salmón y malta Compy,1,1.1,13220829,2022-12-07
352,Cilantro,1,1.25,13220829,2022-12-07
353,Arándanos,1,2.89,13220829,2022-12-07
354,"Pimientos tricolor rojo, amarillo y verde",1,1.79,13220829,2022-12-07
355,Galletas cacahuete y chocolate Hacendado,1,1.35,13220829,2022-12-07
356,Cereales Peanut Balls Hacendado bolas de maíz y crema de cacahuete,1,1.95,13220829,2022-12-07
357,Crema de cacahuete 100% Crunchy Hacendado,1,3.1,13220829,2022-12-07
358,Ajo granulado Hacendado,1,0.85,13220829,2022-12-07
359,Jengibre molido Hacendado,1,1.4,13220829,2022-12-07
360,Pimiento rojo y verde Hacendado ultracongelado,1,1.1,13220829,2022-12-07
361,Cúrcuma Hacendado,1,1.25,13220829,2022-12-07
362,Leche de coco Dee Thai,1,1.5,13220829,2022-12-07
363,"Natillas +Proteínas chocolate Hacendado 1,3 g m.g 10 g proteínas",1,1.7,13220829,2022-12-07
364,Barquillos con crema de avellanas Hacendado,1,1.5,13220829,2022-12-07
365,Bicarbonato sódico Hacendado,1,1.0,13220829,2022-12-07
366,Impulsor gasificante en polvo Royal uso alimentario,1,2.25,13220829,2022-12-07
367,Papel vegetal Bosque Verde,1,1.7,13220829,2022-12-07
368,Papel higiénico húmedo WC Bosque Verde,1,1.55,13220829,2022-12-07
369,Canela molida Hacendado,1,0.85,13220829,2022-12-07
370,Bebida de almendras zero Hacendado,1,1.4,13220829,2022-12-07
371,Dentífrico Protección Caries Colgate,1,1.85,13220829,2022-12-07
372,Refresco Coca-Cola Zero Zero,1,9.36,13220829,2022-12-07
373,Vinagre de Limpieza Bosque Verde concentrado,1,0.8,13220829,2022-12-07
374,Plátano macho,2,1.29,13220829,2022-12-07
375,Cereales rellenos de chocolate y avellana Hacendado,1,1.95,13220829,2022-12-07
376,Espárrago verde grueso,2,6.78,13220829,2022-12-07
377,Tomate pera,1,0.25,13220829,2022-12-07
378,Banana,3,0.83,13220829,2022-12-07
379,Ensalada mezcla brotes tiernos maxi,1,1.75,13220829,2022-12-07
380,Huevos grandes L,1,4.25,13220829,2022-12-07
381,Pechugas enteras de pollo,1,7.56,13220829,2022-12-07
382,Calabaza cacahuete cortada a trozos,1,2.15,13220829,2022-12-07
383,Aguacates,1,2.45,13220829,2022-12-07
384,Dentífrico Protección Caries Colgate,1,1.85,13151497,2022-11-30
385,Toallitas bebé frescas & perfumadas Deliplus,1,1.05,13151497,2022-11-30
386,Servilleta papel Cocktail Bosque Verde,1,2.2,13151497,2022-11-30
387,Jamón serrano Incarlopsa lonchas,1,3.58,13151497,2022-11-30
388,Salsa césar Hacendado,1,1.25,13151497,2022-11-30
389,Cebollas,1,1.55,13151497,2022-11-30
390,Helado mini cucurucho nata Hacendado,1,2.55,13151497,2022-11-30
391,Plátano macho,2,1.51,13151497,2022-11-30
392,Judía verde redonda,1,2.29,13151497,2022-11-30
393,Helado almendrado Hacendado,1,2.5,13151497,2022-11-30
394,Cereales rellenos de chocolate y avellana Hacendado,1,1.95,13151497,2022-11-30
395,Chili con carne Hacendado,1,2.6,13151497,2022-11-30
396,Fajitas pollo y verduras,2,7.98,13151497,2022-11-30
397,Refresco Coca-Cola Zero azúcar,1,9.36,13151497,2022-11-30
398,Espárrago verde grueso,2,5.98,13151497,2022-11-30
399,Palitos de zanahoria,1,1.75,13151497,2022-11-30
400,Tomate pera,2,0.37,13151497,2022-11-30
401,Preparado de carne picada vacuno y cerdo,1,5.74,13151497,2022-11-30
402,Arroz de secreto ibérico con setas Hacendado,1,3.0,13151497,2022-11-30
403,Banana,6,1.82,13151497,2022-11-30
404,Muesli Crunchy Hacendado con frutos secos,1,1.75,13151497,2022-11-30
405,Leche desnatada sin lactosa Hacendado,1,1.01,13151497,2022-11-30
406,Ensalada mezcla brotes tiernos maxi,1,1.75,13151497,2022-11-30
407,Huevos grandes L,2,8.5,13151497,2022-11-30
408,Pechugas de pavo pimentón,1,5.09,13151497,2022-11-30
409,Aguacates,1,2.57,13151497,2022-11-30
410,Lomo de cerdo adobado,1,3.16,13151497,2022-11-30
411,Medallones pechuga de pollo marinado,1,3.9,13151497,2022-11-30
412,Medallones pechuga de pollo marinado,1,3.69,13151497,2022-11-30
413,Queso de oveja Entrepinares lonchas,1,2.44,13151497,2022-11-30
414,Postre lácteo +Proteínas con arándanos Hacendado 0% m.g 10 g proteínas,1,1.55,13117832,2022-11-23
415,Pan de molde 100% integral familiar Hacendado,1,1.25,13117832,2022-11-23
416,Espárrago verde grueso,2,5.98,13117832,2022-11-23
417,Remolacha cocida y pelada,2,1.7,13117832,2022-11-23
418,Pimiento rojo,1,1.13,13117832,2022-11-23
419,Palitos de zanahoria,1,1.75,13117832,2022-11-23
420,Tomate pera,2,0.33,13117832,2022-11-23
421,Preparado de carne picada vacuno y cerdo,1,5.74,13117832,2022-11-23
422,Arroz de secreto ibérico con setas Hacendado,1,3.0,13117832,2022-11-23
423,Banana,6,1.64,13117832,2022-11-23
424,Muesli Crunchy Hacendado con frutos secos,1,1.75,13117832,2022-11-23
425,Edulcorante en sobres stevia Hacendado,1,2.0,13117832,2022-11-23
426,Leche desnatada sin lactosa Hacendado,3,2.88,13117832,2022-11-23
427,Ensalada mezcla brotes tiernos maxi,1,1.75,13117832,2022-11-23
428,Huevos grandes L,2,8.5,13117832,2022-11-23
429,6 Caracolas rellenas de cacao,1,1.6,13117832,2022-11-23
430,Medallones pechuga de pollo marinado,1,3.68,13117832,2022-11-23
431,Medallones pechuga de pollo marinado,1,3.81,13117832,2022-11-23
432,Queso de oveja Entrepinares lonchas,1,2.23,13117832,2022-11-23
433,Aguacates,1,2.33,13117832,2022-11-23
434,Ambientador automático Caramel Bosque Verde,1,1.9,13069090,2022-11-16
435,Postre lácteo +Proteínas con arándanos Hacendado 0% m.g 10 g proteínas,1,1.55,13069090,2022-11-16
436,Ensaladilla de cangrejo Hacendado,1,1.7,13069090,2022-11-16
437,Lasaña boloñesa Hacendado,1,2.65,13069090,2022-11-16
438,Pan de molde 100% integral familiar Hacendado,1,1.25,13069090,2022-11-16
439,Toallitas limpiadoras de Muebles Bosque Verde,1,1.35,13069090,2022-11-16
440,Gotas de chocolate negro para fundir Hacendado,2,3.2,13069090,2022-11-16
441,Patatas especial para freir,1,3.05,13069090,2022-11-16
442,Espárrago verde grueso,2,5.98,13069090,2022-11-16
443,Remolacha cocida y pelada,2,1.7,13069090,2022-11-16
444,Pimientos semipicantes,1,1.15,13069090,2022-11-16
445,Pimiento rojo,1,0.98,13069090,2022-11-16
446,Palitos de zanahoria,1,1.75,13069090,2022-11-16
447,Tomate pera,2,0.43,13069090,2022-11-16
448,Galletas crujientes chocolate y avena Hacendado,1,1.58,13069090,2022-11-16
449,Galletas mini Oreo,1,1.65,13069090,2022-11-16
450,Cereales rellenos de chocolate y avellana Hacendado,1,1.95,13069090,2022-11-16
451,"Muesli Hacendado con quinoa, chía y chocolate negro",1,1.95,13069090,2022-11-16
452,Jamón serrano Incarlopsa lonchas,1,3.49,13069090,2022-11-16
453,Pechuga de pavo Hacendado finas lonchas,1,3.15,13069090,2022-11-16
454,Preparado de carne picada vacuno y cerdo,2,11.48,13069090,2022-11-16
455,Maxi tortillas de trigo Hacendado,1,1.55,13069090,2022-11-16
456,Chili con carne Hacendado,1,2.6,13069090,2022-11-16
457,Fajitas pollo y verduras,2,7.98,13069090,2022-11-16
458,Flautas de pollo y queso,1,1.6,13069090,2022-11-16
459,Queso Cheddar Hacendado lonchas,1,1.9,13069090,2022-11-16
460,Arroz de secreto ibérico con setas Hacendado,1,3.0,13069090,2022-11-16
461,Banana,6,1.61,13069090,2022-11-16
462,Café molido natural Hacendado,1,2.7,13069090,2022-11-16
463,Muesli Crunchy Hacendado con frutos secos,1,1.75,13069090,2022-11-16
464,Edulcorante en sobres stevia Hacendado,1,2.0,13069090,2022-11-16
465,Refresco Coca-Cola Zero azúcar,1,9.36,13069090,2022-11-16
466,Leche desnatada sin lactosa Hacendado,3,2.88,13069090,2022-11-16
467,Ensalada mezcla brotes tiernos maxi,1,1.75,13069090,2022-11-16
468,Huevos grandes L,2,8.5,13069090,2022-11-16
469,6 Caracolas rellenas de cacao,1,1.6,13069090,2022-11-16
470,Salteado de setas laminadas,1,1.81,13069090,2022-11-16
471,Aguacates,1,2.45,13069090,2022-11-16
472,Medallones pechuga de pollo marinado,1,3.73,13069090,2022-11-16
473,Medallones pechuga de pollo marinado,1,4.64,13069090,2022-11-16
474,Calabaza cacahuete cortada a trozos,1,1.79,13069090,2022-11-16
475,Queso de oveja Entrepinares lonchas,1,2.52,13069090,2022-11-16
476,Queso Cheddar Hacendado lonchas,1,1.9,13029815,2022-11-09
477,"Salsa de tomate, albahaca y orégano Hacendado",1,1.2,13029815,2022-11-09
478,Cereales rellenos de chocolate y avellana Hacendado,1,1.95,13029815,2022-11-09
479,Arroz de secreto ibérico con setas Hacendado,1,2.85,13029815,2022-11-09
480,Pimiento verde freír,1,0.26,13029815,2022-11-09
481,Arándanos,1,2.89,13029815,2022-11-09
482,Banana,7,1.77,13029815,2022-11-09
483,Detergente ropa All in 1 Ariel en cápsulas,1,7.75,13029815,2022-11-09
484,Papel higiénico húmedo WC Bosque Verde,1,1.5,13029815,2022-11-09
485,Café molido natural Hacendado,1,2.7,13029815,2022-11-09
486,Muesli Crunchy Hacendado con frutos secos,1,1.75,13029815,2022-11-09
487,Edulcorante en sobres stevia Hacendado,1,2.0,13029815,2022-11-09
488,Pan de molde 100% integral Hacendado,1,0.95,13029815,2022-11-09
489,Refresco Coca-Cola Zero azúcar,1,9.36,13029815,2022-11-09
490,Leche desnatada sin lactosa Hacendado,2,1.92,13029815,2022-11-09
491,Ensalada mezcla brotes tiernos maxi,1,1.75,13029815,2022-11-09
492,Aceite de oliva virgen extra Hacendado,2,4.3,13029815,2022-11-09
493,Servilleta papel Cocktail Bosque Verde,1,2.2,13029815,2022-11-09
494,Huevos grandes L,2,7.9,13029815,2022-11-09
495,6 Caracolas rellenas de cacao,1,1.6,13029815,2022-11-09
496,Helado con coco mochi Hacendado,1,2.55,13029815,2022-11-09
497,Avena molida Hacendado,2,2.3,13029815,2022-11-09
498,Bebida de avena con café Hacendado,1,0.9,13029815,2022-11-09
499,Barritas Sustitutivo de comida Belladieta sabor avena y chocolate con leche,1,3.1,13029815,2022-11-09
500,Aguacates,1,2.28,13029815,2022-11-09
501,Queso de oveja Entrepinares lonchas,1,2.48,13029815,2022-11-09
502,Medallones pechuga de pollo marinado,1,4.64,13029815,2022-11-09
503,Medallones pechuga de pollo marinado,1,4.82,13029815,2022-11-09
504,Champiñón laminado limpio,1,1.72,13029815,2022-11-09
505,Muesli Crunchy Hacendado con frutos secos,1,1.75,12950475,2022-10-31
506,Barrita con proteínas Enervit Sport sabor chocolate negro,1,4.9,12950475,2022-10-31
507,Cereales rellenos de crema de cacao y avellana Hacendado sin gluten,1,2.1,12950475,2022-10-31
508,Helado almendrado Hacendado,1,2.2,12950475,2022-10-31
509,Chili con carne Hacendado,1,2.6,12950475,2022-10-31
510,Fajitas pollo y verduras,2,7.98,12950475,2022-10-31
511,Desodorante invisible Black & White Nivea Men,2,5.5,12950475,2022-10-31
512,Paleta curada lonchas Paletas Marpa,1,3.87,12950475,2022-10-31
513,Champú anticaspa Citrus Fresh H&S cabello graso,1,4.25,12950475,2022-10-31
514,Café molido natural Hacendado,1,2.7,12950475,2022-10-31
515,Pechuga de pavo Hacendado finas lonchas,1,3.15,12950475,2022-10-31
516,Refresco Coca-Cola Zero azúcar,1,8.64,12950475,2022-10-31
517,Judía verde redonda,1,2.29,12950475,2022-10-31
518,Pan de molde 100% integral Hacendado,1,0.95,12950475,2022-10-31
519,Plátano macho,2,1.23,12950475,2022-10-31
520,Leche desnatada sin lactosa Hacendado,2,1.82,12950475,2022-10-31
521,Ensalada mezcla brotes tiernos maxi,1,1.75,12950475,2022-10-31
522,Preparado de carne picada vacuno,1,6.18,12950475,2022-10-31
523,Banana,8,2.13,12950475,2022-10-31
524,Espárrago verde grueso,2,5.98,12950475,2022-10-31
525,Aguacates,1,2.99,12950475,2022-10-31
526,Pechugas enteras de pollo,1,3.03,12950475,2022-10-31
527,Pechugas enteras de pollo,1,3.96,12950475,2022-10-31
528,Chuletas lomo de cerdo,1,1.81,12950475,2022-10-31
529,Medallones pechuga de pollo marinado,1,4.04,12950475,2022-10-31
530,Medallones pechuga de pollo marinado,1,3.85,12950475,2022-10-31
531,Champiñón laminado limpio,1,1.55,12950475,2022-10-31
532,Queso de oveja Entrepinares lonchas,1,2.42,12950475,2022-10-31
533,Refresco Coca-Cola Zero azúcar,1,9.36,12878660,2022-10-20
534,Queso Cheddar Hacendado lonchas,1,1.9,12878660,2022-10-20
535,Pan de hamburguesa Brioche Hacendado,2,1.7,12878660,2022-10-20
536,Croquetas de pollo Hacendado ultracongeladas,1,3.0,12878660,2022-10-20
537,Tiras de pechuga pollo al horno Hacendado,2,4.0,12878660,2022-10-20
538,Arroz de secreto ibérico con setas Hacendado,2,5.7,12878660,2022-10-20
539,Maxi tortillas de trigo Hacendado,1,1.55,12878660,2022-10-20
540,Leche desnatada sin lactosa Hacendado,2,1.82,12878660,2022-10-20
541,Papel higiénico húmedo WC Bosque Verde,1,1.5,12878660,2022-10-20
542,Toallitas limpiadoras de Cristales y Espejos Bosque Verde,1,1.25,12878660,2022-10-20
543,Toallitas limpiadoras de baños Bosque Verde,1,1.3,12878660,2022-10-20
544,Burrata fresca Hacendado,1,2.4,12878660,2022-10-20
545,Mantequilla sin sal añadida Hacendado,1,1.95,12878660,2022-10-20
546,"Salsa de tomate, albahaca y orégano Hacendado",1,1.2,12878660,2022-10-20
547,Queso en polvo grana padano Hacendado,1,1.7,12878660,2022-10-20
548,Cereales rellenos de chocolate y avellana Hacendado,1,1.95,12878660,2022-10-20
549,Remolacha cocida y pelada,2,1.7,12878660,2022-10-20
550,Judía verde redonda,1,2.15,12878660,2022-10-20
551,Tomate pera,2,0.37,12878660,2022-10-20
552,Chili con carne Hacendado,1,2.6,12878660,2022-10-20
553,Fajitas pollo y verduras,2,7.98,12878660,2022-10-20
554,Palitos de zanahoria,2,3.5,12878660,2022-10-20
555,Edulcorante en sobres stevia Hacendado,1,2.0,12878660,2022-10-20
556,Bebida de almendras zero Hacendado,1,1.4,12878660,2022-10-20
557,Hummus de garbanzos Hacendado receta clásica,2,2.4,12878660,2022-10-20
558,Muesli Crunchy Hacendado sin azúcares añadidos,1,1.65,12878660,2022-10-20
559,Preparado de carne picada vacuno,2,12.36,12878660,2022-10-20
560,Ensalada mezcla brotes tiernos maxi,1,1.75,12878660,2022-10-20
561,Huevos grandes L,2,7.9,12878660,2022-10-20
562,Espárrago verde grueso,2,5.98,12878660,2022-10-20
563,Banana,8,2.23,12878660,2022-10-20
564,Pechugas enteras de pollo,1,4.49,12878660,2022-10-20
565,Pechugas enteras de pollo,1,3.36,12878660,2022-10-20
566,Pechugas enteras de pollo,1,4.1,12878660,2022-10-20
567,Medallones pechuga de pollo marinado,1,4.75,12878660,2022-10-20
568,Medallones pechuga de pollo marinado,1,3.82,12878660,2022-10-20
569,Aguacates,1,2.52,12878660,2022-10-20
570,Champiñón laminado limpio,1,1.71,12878660,2022-10-20
571,Pollo asado Hacendado,1,6.55,12878660,2022-10-20
572,Pollo asado Hacendado,1,6.8,12878660,2022-10-20
573,Tacos de vacuno añojo para guisar,1,6.16,12878660,2022-10-20
574,Tacos de vacuno añojo para guisar,1,5.47,12878660,2022-10-20
575,Calabaza cacahuete cortada a trozos,1,1.6,12878660,2022-10-20
576,Queso para ensaladas Hacendado en dados,1,1.9,12838037,2022-10-13
577,Salsa césar Hacendado,1,1.25,12838037,2022-10-13
578,Muesli Crunchy Hacendado con frutos secos,1,1.75,12838037,2022-10-13
579,Preparado de carne picada vacuno,1,6.18,12838037,2022-10-13
580,Pan de molde 100% integral Hacendado,1,0.95,12838037,2022-10-13
581,Risotto de champiñones Hacendado ultracongelados,1,1.45,12838037,2022-10-13
582,Leche desnatada sin lactosa Hacendado,2,1.82,12838037,2022-10-13
583,Helado almendrado Hacendado,1,2.2,12838037,2022-10-13
584,Bebida de almendras zero Hacendado,1,1.4,12838037,2022-10-13
585,Plátano macho,3,2.32,12838037,2022-10-13
586,Gel de baño dermoprotector Sanex piel normal,1,3.5,12838037,2022-10-13
587,Jabón de manos Beauty Cream Bar Dove pastilla,1,2.6,12838037,2022-10-13
588,Edulcorante en sobres stevia Hacendado,1,2.0,12838037,2022-10-13
589,Recarga jabón de manos dermoprotector Deliplus líquido,1,1.15,12838037,2022-10-13
590,Detergente ropa All in 1 Ariel en cápsulas,1,7.75,12838037,2022-10-13
591,Champú Anticaída Men Deliplus,1,1.95,12838037,2022-10-13
592,Vinagre de Limpieza Bosque Verde concentrado,1,0.8,12838037,2022-10-13
593,Remolacha cocida y pelada,2,1.6,12838037,2022-10-13
594,Hummus de garbanzos Hacendado receta clásica,1,1.2,12838037,2022-10-13
595,Huevos grandes L,2,7.9,12838037,2022-10-13
596,Banana,6,1.11,12838037,2022-10-13
597,Tomate pera,2,0.35,12838037,2022-10-13
598,Espárrago verde grueso,2,5.98,12838037,2022-10-13
599,Ensalada mezcla brotes tiernos maxi,1,1.75,12838037,2022-10-13
600,Pechugas enteras de pollo,1,4.53,12838037,2022-10-13
601,Pechugas enteras de pollo,1,4.54,12838037,2022-10-13
602,Medallones preparado de solomillo cerdo provenzal,1,3.51,12838037,2022-10-13
603,Medallones preparado de solomillo cerdo provenzal,1,3.63,12838037,2022-10-13
604,Aguacates,1,2.61,12838037,2022-10-13
605,Jengibre,1,1.66,12838037,2022-10-13
606,Champiñón laminado limpio,1,1.5,12838037,2022-10-13
607,Medallones pechuga de pollo marinado,1,4.02,12838037,2022-10-13
608,Medallones pechuga de pollo marinado,1,3.55,12838037,2022-10-13
609,Tacos de pavo al ajillo,1,3.58,12838037,2022-10-13
610,Barrita con proteínas Enervit Sport sabor chocolate negro,1,4.9,12793662,2022-10-06
611,Spaghetti Hacendado,1,1.2,12793662,2022-10-06
612,Pan de hamburguesa Brioche Hacendado,1,0.85,12793662,2022-10-06
613,Pan de molde 100% integral Hacendado,1,0.95,12793662,2022-10-06
614,Papel higiénico Doble Rollo Bosque Verde,1,4.75,12793662,2022-10-06
615,Quiche verduras Hacendado con calabacín y queso de cabra,1,2.2,12793662,2022-10-06
616,Chili con carne Hacendado,1,2.6,12793662,2022-10-06
617,Plátano macho,3,2.03,12793662,2022-10-06
618,Patatas,1,4.4,12793662,2022-10-06
619,Judía verde redonda,1,2.15,12793662,2022-10-06
620,Espárrago verde grueso,1,2.99,12793662,2022-10-06
621,"Pimientos tricolor rojo, amarillo y verde",1,1.64,12793662,2022-10-06
622,Palitos de zanahoria,1,1.6,12793662,2022-10-06
623,Tomate pera,4,0.77,12793662,2022-10-06
624,Ensalada mezcla brotes tiernos maxi,1,1.75,12793662,2022-10-06
625,Banana,6,1.63,12793662,2022-10-06
626,Manzana Royal Gala,2,0.77,12793662,2022-10-06
627,Preparado de carne picada vacuno,1,6.18,12793662,2022-10-06
628,Burger de vacuno,1,4.18,12793662,2022-10-06
629,Huevos grandes L,1,3.95,12793662,2022-10-06
630,Fajitas pollo y verduras,1,3.99,12793662,2022-10-06
631,Refresco Coca-Cola Zero azúcar,1,9.36,12793662,2022-10-06
632,Aceite de oliva virgen extra Hacendado,1,2.15,12793662,2022-10-06
633,Filete de salmón rosado salvaje con piel Hacendado ultracongelado,1,2.76,12793662,2022-10-06
634,Queso de oveja Entrepinares lonchas,1,2.39,12793662,2022-10-06
635,Filetes pechuga de pollo corte fino,1,4.51,12793662,2022-10-06
636,Filetes pechuga de pollo corte fino,1,4.19,12793662,2022-10-06
637,Pechugas enteras de pollo,1,4.32,12793662,2022-10-06
638,Pechugas enteras de pollo,1,4.4,12793662,2022-10-06
639,Medallones pechuga de pollo marinado,1,4.32,12793662,2022-10-06
640,Aguacates,1,2.9,12793662,2022-10-06
641,Aguacates,1,3.03,12793662,2022-10-06
